index,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,Y
69,10400,10400,10400,36,12.69,348.87,C,C2,Food Service Director,10+ years,RENT,39000,Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60922500,,debt_consolidation,Debt consolidation,016xx,MA,26.12,1,5.Aug,0,12,,7,0,15801,72.2,24,f,7360.57,7360.57,4179.11,4179.11,3039.43,1139.68,0,0,0,16.Oct,348.87,16.Oct,16.Oct,0,,1,INDIVIDUAL,,,,0,0,34109,,,,,,,,,,,,21900,,,,4,4873,36,98.8,0,0,121,115,20,4,0,44,,21,12,0,1,5,1,1,15,5,9,5,7,0,0,0,1,91.7,100,0,0,45766,34109,3000,23866,0
71,4000,4000,4000,36,12.29,133.42,C,C1,Interventionist,10+ years,RENT,45000,Source Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60772452,,debt_consolidation,Debt consolidation,392xx,MS,2.85,1,Aug.99,0,14,,30,0,3298,66,33,f,2825.88,2825.88,1598.31,1598.31,1174.12,424.19,0,0,0,16.Oct,133.42,16.Oct,16.Oct,0,,1,INDIVIDUAL,,,,0,0,167135,,,,,,,,,,,,5000,,,,4,5571,202,94.2,0,0,193,36,6,6,0,6,,18,,8,2,2,2,2,30,3,3,2,30,0,0,0,3,72.7,100,0,0,146661,167135,3500,141661,0
72,6000,6000,6000,36,7.89,187.72,A,A5,Maintenance ,1 year,MORTGAGE,34000,Source Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=61016553,,home_improvement,Home improvement,622xx,IL,2.68,0,May.94,0,73,,3,0,3073,28.7,17,f,0,0,6286.370001,6286.37,6000,286.37,0,0,0,16.Jun,4974.96,,16.May,0,73,1,INDIVIDUAL,,,,0,0,24255,,,,,,,,,,,,10700,,,,1,8085,4127,42.7,0,0,,256,24,24,2,112,,,,1,1,1,1,7,0,2,14,1,3,0,0,0,0,94.1,0,0,0,40950,3073,7200,0,0
73,7800,7800,7800,36,9.17,248.66,B,B2,,n/a,MORTGAGE,80000,Source Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60972542,,other,Other,550xx,MN,5.48,0,Jul.78,0,74,66,4,1,2022,29.7,21,f,5433.52,5433.52,3001.8,3001.8,2366.48,635.32,0,0,0,16.Oct,248.66,16.Nov,16.Oct,0,74,1,INDIVIDUAL,,,,0,0,6091,,,,,,,,,,,,6800,,,,1,1523,978,67.4,0,0,124,446,14,14,0,28,74,14,74,1,2,2,2,8,6,3,15,2,4,0,0,0,0,86.7,50,1,0,16552,6091,3000,9752,0
74,12600,12600,12600,36,11.53,415.68,B,B5,Tax Assessor/Collector,8 years,OWN,62500,Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60812803,,home_improvement,Home improvement,396xx,MS,13.58,0,Oct.98,0,63,,7,0,5996,45.8,16,f,3749.02,3749.02,9958.36,9958.36,8850.98,1107.38,0,0,0,16.Sep,415.68,16.Nov,16.Oct,0,,1,INDIVIDUAL,,,,0,0,24936,,,,,,,,,,,,13100,,,,3,3562,2238,69.8,0,0,141,203,1,1,0,1,63,6,63,0,2,4,3,11,2,6,14,4,7,0,0,0,1,93.7,66.7,0,0,35700,24936,7400,22600,0
75,6000,6000,6000,36,12.29,200.12,C,C1,Manager ,7 years,RENT,25000,Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60922100,,credit_card,Credit card refinancing,606xx,IL,22.32,0,6.Oct,1,,,9,0,4791,44,14,f,4238.95,4238.95,2397.34,2397.34,1761.05,636.29,0,0,0,16.Oct,200.12,16.Oct,16.Oct,0,,1,INDIVIDUAL,,,,0,891,8984,,,,,,,,,,,,10900,,,,4,998,4039,53,0,0,10,107,5,5,0,23,,5,,0,6,7,6,10,1,8,13,7,9,0,0,0,2,100,33.3,0,0,15900,8984,8600,5000,0
77,3600,3600,3600,36,11.53,118.77,B,B5,Helpdesk Analyst,1 year,RENT,40500,Not Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60942762,,credit_card,Credit card refinancing,352xx,AL,36.74,0,6.Mar,3,,,12,0,3750,19.6,22,f,2720.85,2720.85,1185.39,1185.39,879.15,306.24,0,0,0,16.Aug,118.77,16.Oct,16.Oct,0,,1,INDIVIDUAL,,,,0,0,32985,,,,,,,,,,,,19100,,,,3,2749,11350,24.8,0,0,108,114,21,3,0,23,,1,,0,3,3,4,11,6,7,16,3,12,0,0,0,1,100,0,0,0,71221,32985,15100,52121,1
78,9600,9600,9600,36,8.18,301.63,B,B1,Branch Manager,10+ years,MORTGAGE,95000,Source Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=61016554,,debt_consolidation,Debt consolidation,957xx,CA,10.9,0,Jun.00,0,48,,11,0,22485,63.9,24,f,6657.01,6657.01,3615.2,3615.2,2942.99,672.21,0,0,0,16.Oct,301.63,16.Oct,16.Oct,0,69,1,INDIVIDUAL,,,,0,0,706603,,,,,,,,,,,,35200,,,,5,64237,8694,70.2,0,0,180,183,7,7,6,27,69,7,69,0,4,5,4,5,8,6,9,5,11,0,0,0,2,91.7,75,0,0,735976,28827,29200,8000,0
79,5000,5000,5000,36,9.99,161.32,B,B3,Mortgage consultant,10+ years,RENT,70000,Source Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60842621,,credit_card,Credit card refinancing,941xx,CA,7.42,10,2.Aug,0,12,,8,0,3718,23.1,18,f,3496.03,3496.03,1933.06,1933.06,1503.97,429.09,0,0,0,16.Oct,161.32,16.Oct,16.Oct,0,12,1,INDIVIDUAL,,,,0,464,9469,,,,,,,,,,,,16100,,,,2,1184,11784,24,0,0,157,149,3,3,0,94,12,,12,4,6,7,6,11,2,7,16,7,8,0,0,5,2,44.4,0,0,0,22100,9469,15500,6000,0
80,5600,5600,5600,36,14.65,193.17,C,C5,Retail clerk,10+ years,MORTGAGE,54000,Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60962705,,debt_consolidation,Debt consolidation,921xx,CA,25.93,0,Dec.92,1,35,72,12,1,11012,65.2,24,f,3997.6,3997.6,2337.42,2337.42,1602.4,735.02,0,0,0,16.Oct,193.17,16.Nov,16.Oct,0,82,1,INDIVIDUAL,,,,0,0,210371,,,,,,,,,,,,16900,,,,5,17531,834,89,0,0,63,273,4,4,5,4,35,4,35,1,3,6,3,8,6,7,13,6,12,0,0,0,2,90.9,100,1,0,255279,31552,7600,33003,0
81,2400,2400,2400,36,7.26,74.4,A,A4,Instructor,5 years,MORTGAGE,90000,Source Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60812798,,debt_consolidation,Debt consolidation,064xx,CT,20.4,0,Jan.92,0,29,,24,0,63220,52.7,34,f,1657.04,1657.04,891.83,891.83,742.96,148.87,0,0,0,16.Oct,74.4,16.Oct,16.Oct,0,34,1,INDIVIDUAL,,,,0,0,63433,,,,,,,,,,,,119900,,,,3,2883,51759,54.2,0,0,125,284,16,16,2,16,29,16,29,1,15,17,17,20,2,21,27,17,24,0,0,0,0,94.1,29.4,0,0,120504,63433,113100,0,0
82,9000,9000,9000,36,10.99,294.61,B,B4,,n/a,OWN,31000,Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60982535,,debt_consolidation,Debt consolidation,763xx,TX,24.24,0,May.97,0,43,,9,0,2397,17,29,w,6321.53,6321.53,3529.82,3529.82,2678.47,851.35,0,0,0,16.Oct,294.61,16.Oct,16.Oct,0,43,1,INDIVIDUAL,,,,0,0,16098,,,,,,,,,,,,14100,,,,3,2012,2523,36.9,0,0,184,220,5,5,0,37,43,12,43,8,1,4,1,10,6,7,23,4,9,0,0,0,2,72.4,0,0,0,37500,16098,4000,23400,0
83,5875,5875,5875,36,11.53,193.82,B,B5,Logistics Chief,10+ years,RENT,61670,Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60932853,,debt_consolidation,Debt consolidation,077xx,NJ,31.04,0,Jun.94,0,,67,14,1,13461,55.6,46,w,4136.59,4136.59,2325.84,2325.84,1738.41,587.43,0,0,0,16.Oct,193.82,16.Nov,16.Oct,0,,1,INDIVIDUAL,,,,0,0,36655,,,,,,,,,,,,24200,,,,9,2618,2594,62.9,0,0,203,255,18,10,2,24,,18,,0,4,11,4,7,19,11,25,11,14,0,0,0,2,100,75,1,0,65500,36655,7000,41300,0
85,10000,10000,10000,36,5.32,301.15,A,A1,Police Sergeant,9 years,MORTGAGE,81000,Not Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60942760,,debt_consolidation,Debt consolidation,791xx,TX,12.9,0,Aug.87,1,,,12,0,18623,24,22,f,6841.94,6841.94,3612.31,3612.31,3158.06,454.25,0,0,0,16.Oct,301.15,16.Oct,16.Oct,0,,1,INDIVIDUAL,,,,0,0,154753,,,,,,,,,,,,77700,,,,4,12896,50745,26.7,0,0,141,337,3,3,4,3,,3,,0,6,7,7,9,4,10,13,7,12,0,0,0,2,100,0,0,0,232931,33303,69200,26131,0
86,7500,7500,7500,36,13.33,253.9,C,C3,,n/a,RENT,35000,Source Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60913155,,debt_consolidation,Debt consolidation,327xx,FL,21.88,0,1.Nov,1,,86,4,1,1042,41.7,9,f,5323.15,5323.15,3054.81,3054.81,2176.85,877.96,0,0,0,16.Oct,253.9,16.Nov,16.Oct,0,,1,INDIVIDUAL,,,,0,56,19228,,,,,,,,,,,,2500,,,,4,4807,1458,41.7,0,0,166,57,13,9,1,13,,0,,0,2,2,2,2,6,2,2,2,4,0,0,0,1,100,50,1,0,25258,19228,2500,22758,0
87,6000,6000,6000,36,9.99,193.58,B,B3,Financial Analyst,10+ years,OWN,72500,Not Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60802535,,other,Other,770xx,TX,27,0,Aug.89,1,32,,6,0,9819,54.5,20,f,0,0,6521.910001,6521.91,6000,521.91,0,0,0,16.Oct,4395.86,,16.Oct,0,,1,INDIVIDUAL,,,,0,0,109841,,,,,,,,,,,,18000,,,,5,18307,4770,63.3,0,0,166,239,7,7,1,21,,0,,0,3,4,3,8,8,4,10,4,6,0,0,0,3,95,33.3,0,0,124146,109841,13000,106146,0
88,15000,15000,15000,60,12.69,338.93,C,C2,City Clerk,10+ years,RENT,123000,Source Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60932846,,credit_card,Credit card refinancing,928xx,CA,14.1,0,Apr.88,1,,,8,0,42777,39.4,26,f,0,0,2898.2,2898.2,646.66,559.55,0,1691.99,304.5582,16.Feb,100,,16.Oct,0,,1,INDIVIDUAL,,,,0,0,61371,,,,,,,,,,,,108500,,,,4,7671,37905,39.8,0,0,96,329,3,3,5,3,,0,,0,3,5,4,7,4,7,17,5,8,0,0,0,4,100,25,0,0,128500,61371,63000,20000,1
89,5000,5000,5000,36,13.33,169.27,C,C3,Owner,8 years,RENT,131000,Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60762625,,debt_consolidation,Debt consolidation,347xx,FL,39.13,0,Jul.66,0,47,,18,0,16988,34.9,37,w,0,0,842.65,842.65,581.42,261.23,0,0,0,16.Mar,169.27,,16.Oct,0,,1,INDIVIDUAL,,,,0,0,127850,,,,,,,,,,,,49000,,,,4,7991,28312,37.8,0,0,123,590,24,4,2,24,49,11,49,0,6,6,11,19,7,14,26,6,18,0,0,0,2,100,50,0,0,173595,127850,45300,54663,1
90,35000,35000,35000,36,14.65,1207.3,C,C5,Sr Systems Analyst,1 year,MORTGAGE,125000,Source Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60772485,,credit_card,Credit card refinancing,549xx,WI,13.25,0,3.Aug,1,,,34,0,41079,96.4,65,f,24985.12,24985.12,14459.11,14459.11,10014.88,4444.23,0,0,0,16.Oct,1207.3,16.Oct,16.Oct,0,,1,INDIVIDUAL,,,,0,0,304367,,,,,,,,,,,,42600,,,,6,9223,334,99.1,0,0,126,145,3,3,7,3,,5,,0,11,13,11,15,39,15,19,13,34,0,0,0,2,100,100,0,0,320121,138204,38800,101381,0
91,3100,3100,3100,36,9.99,100.02,B,B3,Senior Project Manager,3 years,MORTGAGE,85000,Source Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60932855,,credit_card,Credit card refinancing,773xx,TX,19.48,0,2.Oct,0,44,,9,0,6785,84.8,28,f,2167.53,2167.53,1186.47,1186.47,932.47,254,0,0,0,16.Sep,100.02,16.Nov,16.Oct,0,44,1,INDIVIDUAL,,,,0,0,91928,,,,,,,,,,,,8000,,,,5,10214,73,98.3,0,0,155,124,5,5,2,5,44,9,44,6,3,5,3,10,14,5,12,5,9,0,0,0,1,80.8,100,0,0,125673,91928,4300,117673,0
92,25600,25600,25600,36,7.89,800.92,A,A5,Director,4 years,MORTGAGE,140000,Not Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=10538145,,credit_card,Credit card refinancing,928xx,CA,22.61,0,Sep.91,0,46,,12,0,7292,12.6,38,w,11707.22,11707.22,15373.86,15373.86,13892.78,1481.08,0,0,0,16.Sep,1000,16.Nov,16.Oct,0,46,1,INDIVIDUAL,,,,0,0,673694,,,,,,,,,,,,57800,,,,7,56141,25508,22.2,0,0,123,288,7,3,5,7,,3,,2,1,1,5,10,15,7,17,1,12,0,0,0,4,94.7,20,0,0,749334,106869,32800,122184,0
94,5000,5000,5000,36,11.53,164.96,B,B5,Customer Service ,10+ years,MORTGAGE,43000,Source Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60890849,,debt_consolidation,Debt consolidation,550xx,MN,25.79,0,5.Nov,3,,,10,0,11288,48.9,21,f,3520.41,3520.41,1976.32,1976.32,1479.59,496.73,0,0,0,16.Oct,164.96,16.Oct,16.Oct,0,,1,INDIVIDUAL,,,,0,0,146899,,,,,,,,,,,,23100,,,,3,14690,3742,66.3,0,0,85,118,11,11,3,11,,1,,0,2,7,3,4,4,8,14,7,10,0,0,0,1,100,33.3,0,0,169213,16082,11100,8000,0
95,3500,3500,3500,36,9.99,112.92,B,B3,City Administrator,8 years,MORTGAGE,80000,Source Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60782682,,credit_card,Credit card refinancing,557xx,MN,20.46,0,Oct.98,0,39,,6,0,2686,72.6,22,f,0,0,3808.53,3808.53,3500,308.53,0,0,0,16.Oct,2568.35,,16.Oct,0,52,1,INDIVIDUAL,,,,0,0,166836,,,,,,,,,,,,3700,,,,2,27806,916,73.8,0,0,203,150,20,20,1,20,52,3,52,5,2,3,2,8,12,3,9,3,6,0,0,0,0,76.2,50,0,0,185157,55847,3500,55574,0
96,4000,4000,4000,36,7.89,125.15,A,A5,,n/a,RENT,17627,Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60913165,,debt_consolidation,Debt consolidation,330xx,FL,1.7,0,Jun.99,0,,,2,0,611,20.4,4,f,2769.95,2769.95,1500.05,1500.05,1230.05,270,0,0,0,16.Oct,125.15,16.Oct,16.Oct,0,,1,INDIVIDUAL,,,,0,0,611,,,,,,,,,,,,3000,,,,0,611,2389,20.4,0,0,170,195,56,56,0,56,,,,0,1,1,2,2,1,2,3,1,2,0,0,0,0,100,0,0,0,3000,611,3000,0,0
97,26000,26000,25950,60,14.65,613.78,C,C5,Instructional Facilitator,10+ years,RENT,73000,Source Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60870246,,debt_consolidation,Debt consolidation,291xx,SC,31.63,0,Feb.95,0,,,21,0,34596,58.9,32,f,22194.86,22152.17,7344.2,7330.08,3805.14,3539.06,0,0,0,16.Oct,613.78,16.Oct,16.Oct,0,,1,INDIVIDUAL,,,,0,0,73075,,,,,,,,,,,,58700,,,,2,3654,11871,37.5,0,0,151,247,24,13,2,27,,,,0,4,16,4,5,6,18,24,16,21,0,0,0,0,100,75,0,0,107253,73075,19000,48553,0
100,6000,6000,6000,36,13.33,203.12,C,C3,Asset Protection,3 years,RENT,35000,Source Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60782652,,credit_card,Credit card refinancing,554xx,MN,6.69,0,9.Aug,1,,,6,0,8788,25.9,7,f,4258.51,4258.51,2433,2433,1741.49,691.51,0,0,0,16.Oct,203.12,16.Oct,16.Oct,0,,1,INDIVIDUAL,,,,0,0,8788,,,,,,,,,,,,33900,,,,4,1758,15208,36.4,0,0,,73,5,5,0,5,,5,,0,3,4,5,6,0,6,7,4,6,0,0,0,3,100,25,0,0,33900,8788,23900,0,0
101,8525,8525,8525,36,13.99,291.33,C,C4,RN,4 years,MORTGAGE,60000,Source Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60823056,,debt_consolidation,Debt consolidation,826xx,WY,10.94,0,3.Nov,2,,79,10,1,3864,46.6,14,f,6068.1,6068.1,3489.33,3489.33,2456.9,1032.43,0,0,0,16.Oct,291.33,16.Oct,16.Oct,0,,1,INDIVIDUAL,,,,0,0,193065,,,,,,,,,,,,8300,,,,3,24133,382,74.5,0,0,128,142,4,4,1,61,,1,,0,1,3,2,3,5,5,8,3,10,0,0,0,2,100,0,1,0,209692,24321,1500,31526,0
102,25000,25000,25000,60,13.33,573.06,C,C3,Marketing Manager,10+ years,MORTGAGE,180000,Not Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60782633,,debt_consolidation,Debt consolidation,301xx,GA,32.4,0,Jan.85,1,,,30,0,139297,89.4,44,f,21231.02,21231.02,6858.21,6858.21,3768.98,3089.23,0,0,0,16.Oct,573.06,16.Oct,16.Oct,0,,1,INDIVIDUAL,,,,0,0,677944,,,,,,,,,,,,149900,,,,7,22598,2041,97.3,0,0,61,367,14,1,6,24,,2,,0,10,19,11,15,10,20,26,19,30,0,0,0,2,100,90.9,0,0,721989,205894,74900,92082,0
103,9600,9600,9600,36,10.99,314.25,B,B4,Retail Store Manaer ,7 years,RENT,72000,Source Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=59849497,,other,Other,113xx,NY,9.73,0,6.Sep,0,74,,11,0,9006,67.7,19,f,0,0,10516.35,10516.35,9600,916.35,0,0,0,16.Oct,7065.46,,16.Oct,0,74,1,INDIVIDUAL,,,,0,0,23988,,,,,,,,,,,,13300,,,,0,2399,3049,69.2,0,0,108,105,81,43,0,100,74,,74,1,2,3,2,4,10,4,8,3,11,0,0,0,0,84.2,0,0,0,37165,23988,9900,20609,0
104,20000,20000,20000,60,14.65,472.14,C,C5,Retail Manager,10+ years,MORTGAGE,60000,Source Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=59181022,,debt_consolidation,Debt consolidation,922xx,CA,11.84,0,Aug.99,1,50,,12,0,33289,60.5,23,w,17072.95,17072.95,5649.4,5649.4,2927.05,2722.35,0,0,0,16.Oct,472.14,16.Oct,16.Oct,0,55,1,INDIVIDUAL,,,,0,0,113982,,,,,,,,,,,,55000,,,,6,9499,16114,60.2,0,0,193,158,5,4,3,5,55,5,55,0,5,7,8,14,2,11,18,7,12,0,0,0,4,91.3,50,0,0,137390,33289,40500,0,0
106,16000,16000,16000,36,10.99,523.75,B,B4,Registered Nurse,8 years,MORTGAGE,80000,Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60913125,,debt_consolidation,Debt consolidation,277xx,NC,11.39,0,6.May,0,48,,10,0,14,0.1,35,w,11238.29,11238.29,6275.23,6275.23,4761.71,1513.52,0,0,0,16.Oct,523.75,16.Oct,16.Oct,0,,1,INDIVIDUAL,,,,0,0,30923,,,,,,,,,,,,11100,,,,11,3092,9286,0.2,0,0,112,112,9,1,0,15,,13,48,0,1,1,4,14,11,6,24,1,10,0,0,0,7,82.9,0,0,0,47303,30923,9300,36203,0
107,22250,22250,22250,36,12.69,746.38,C,C2,Sales,10+ years,MORTGAGE,90000,Source Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=61006972,,credit_card,Credit card refinancing,392xx,MS,20.99,4,Dec.89,2,8,,6,0,5683,91.7,36,f,15747.38,15747.38,8851.56,8851.56,6502.62,2348.94,0,0,0,16.Sep,746.38,16.Nov,16.Oct,0,25,1,INDIVIDUAL,,,,0,0,41031,,,,,,,,,,,,6200,,,,5,6839,441,89.5,0,0,131,309,1,1,3,21,19,5,19,5,2,3,2,8,20,3,13,3,6,0,0,0,3,63.9,50,0,0,59095,41031,4200,52895,0
108,15000,15000,15000,60,13.33,343.84,C,C3,President,3 years,RENT,30750,Not Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=61016507,,debt_consolidation,Debt consolidation,330xx,FL,34.23,0,6.Jun,0,35,,8,0,9119,49.8,11,f,12738.56,12738.56,4114.97,4114.97,2261.44,1853.53,0,0,0,16.Oct,343.84,16.Oct,16.Oct,0,,1,INDIVIDUAL,,,,0,0,27807,,,,,,,,,,,,18300,,,,1,3476,4257,60.2,0,0,101,111,34,22,0,34,,11,,0,3,4,3,3,4,5,6,4,8,0,0,0,0,90.9,33.3,0,0,53742,27807,10700,28950,0
109,15000,15000,15000,36,12.69,503.18,C,C2,Engineer,< 1 year,MORTGAGE,100000,Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60932813,,debt_consolidation,Debt consolidation,801xx,CO,10.73,0,1.Sep,1,61,95,19,1,15685,37.5,36,f,10616.18,10616.18,6032.86,6032.86,4383.82,1649.04,0,0,0,16.Oct,503.18,16.Oct,16.Oct,0,61,1,INDIVIDUAL,,,,0,0,374534,,,,,,,,,,,,41800,,,,10,20807,10538,52.7,0,0,153,168,10,1,4,10,,1,,1,4,9,6,6,11,16,21,9,19,0,0,0,7,100,33.3,1,0,407748,27858,22300,18760,0
110,10000,10000,10000,36,10.99,327.34,B,B4,"SVP, CFO/COO",2 years,RENT,115000,Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60832758,,debt_consolidation,Debt consolidation,298xx,SC,13.73,0,Mar.86,2,60,,18,0,28972,69.8,43,f,7023.98,7023.98,3921.97,3921.97,2976.02,945.95,0,0,0,16.Oct,327.34,16.Oct,16.Oct,0,60,1,INDIVIDUAL,,,,0,0,69530,,,,,,,,,,,,41500,,,,9,4090,5900,80.6,0,0,122,354,2,2,3,2,,4,,1,10,13,11,21,8,15,31,13,18,0,0,0,5,93,72.7,0,0,99325,48749,30400,27825,0
111,24000,24000,24000,60,13.33,550.14,C,C3,Maintenance Lead,2 years,RENT,61440,Not Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60719185,,debt_consolidation,Debt consolidation,940xx,CA,31.21,0,7.Jul,0,35,,10,0,8726,80.1,20,f,20381.75,20381.75,6583.91,6583.91,3618.25,2965.66,0,0,0,16.Oct,550.14,16.Oct,16.Oct,0,,1,INDIVIDUAL,,,,0,0,54612,,,,,,,,,,,,10900,,,,2,5461,1659,83.6,0,0,98,93,32,10,0,58,35,9,35,0,5,6,5,6,11,6,9,6,10,0,0,0,1,95,80,0,0,79806,54612,10100,68906,0
113,14000,14000,14000,36,9.99,451.68,B,B3,Management ,< 1 year,RENT,43000,Source Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60820820,,credit_card,Credit card refinancing,330xx,FL,14.65,0,4.Oct,0,,,15,0,15094,51,22,f,2415.76,2415.76,12412.39,12412.39,11584.24,828.15,0,0,0,16.Oct,451.68,16.Oct,16.Oct,0,,1,INDIVIDUAL,,,,0,0,21542,,,,,,,,,,,,29600,,,,5,1539,5439,71.4,0,0,120,131,0,0,0,3,,18,,0,5,8,6,8,9,11,13,8,15,0,0,0,4,100,66.7,0,0,44100,21542,19000,14500,0
114,11100,11100,11100,36,12.69,372.35,C,C2,Server,3 years,RENT,50000,Source Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60810436,,debt_consolidation,Debt consolidation,114xx,NY,6.53,0,12.Jan,0,,,7,0,7358,62.4,8,f,7856.01,7856.01,4460.37,4460.37,3243.99,1216.38,0,0,0,16.Oct,372.35,16.Oct,16.Oct,0,,1,INDIVIDUAL,,,,0,0,11752,,,,,,,,,,,,11800,,,,4,1679,1418,83.1,0,0,23,44,1,1,0,1,,21,,0,3,5,4,4,1,6,7,5,7,0,0,0,1,100,75,0,0,16194,11752,8400,4394,0
115,20600,20600,20600,60,11.53,453.36,B,B5,General manager,9 years,MORTGAGE,118000,Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60772516,,debt_consolidation,Debt consolidation,481xx,MI,26.58,0,4.Apr,0,,,11,0,27552,60.3,29,f,0,0,20882.48,20882.48,20600,282.48,0,0,0,15.Nov,20895.68,,15.Nov,0,,1,INDIVIDUAL,,,,0,0,274567,,,,,,,,,,,,45700,,,,4,24961,3751,86.6,0,0,123,134,26,4,7,134,,12,,0,1,3,1,4,9,4,12,3,11,0,0,0,2,100,100,0,0,329390,107251,28000,98222,0
116,6000,6000,6000,36,10.99,196.41,B,B4,Loan officer,8 years,MORTGAGE,43000,Verified,15.Sep,n,https://lendingclub.com/browse/loanDetail.action?loan_id=60741516,,debt_consolidation,Debt consolidation,296xx,SC,17.5,0,3.Oct,2,37,,15,0,3143,22.6,55,f,0,0,6470.39,6470.39,6000,470.39,0,0,0,16.Jul,4902.77,,16.Jul,0,43,1,INDIVIDUAL,,,,0,0,31184,,,,,,,,,,,,13900,,,,17,3118,3141,47.6,0,0,115,143,1,1,0,3,37,1,37,1,2,4,2,6,21,14,34,4,15,0,0,0,7,94.5,0,0,0,45235,31184,6000,31335,0
